mode,context_id,method,energy_kwh_mean,energy_kwh_ci95,comfort_violation_rate_mean,comfort_violation_rate_ci95,mean_temperature_deviation_mean,mean_temperature_deviation_ci95,action_instability_mean,action_instability_ci95,cumulative_reward_mean,cumulative_reward_ci95,deployment_score_mean,deployment_score_ci95,deployment_score_joint_mean,deployment_score_joint_ci95
hot,vn_cantho_hospital,ashrae,6568.935998916626,0.0,0.03125,0.0,0.0028976268238491,0.0,0.0034722222222222,0.0,-789.9913529205322,0.0,6569.19294336107,0.0,6569.19294336107,0.0
hot,vn_cantho_hospital,cloud_only,6892.5270347595215,0.0,0.0,0.0,0.0,0.0,0.0062068502108256,0.0,-827.192622814178,0.0,6892.539448459943,0.0,6892.880108067139,0.0
hot,vn_cantho_hospital,edge_cloud_adaptive,6813.700193405151,0.0,0.0,0.0,0.0,0.0,0.0053272975815667,0.0,-817.720736293793,1.575619184138342e-13,6813.710848000314,0.0,6813.710848000314,0.0
hot,vn_cantho_hospital,edge_only,9905.17053604126,0.0,0.40625,0.0,1.8186039394802516e-05,0.0,0.0173611111111111,0.0,-1188.8809394836417,0.0,9908.455258263482,0.0,9908.4552624315,0.0
hot,vn_cantho_hospital,ppo_multicontext,9905.17053604126,0.0,0.40625,0.0,1.8186039394802516e-05,0.0,0.0173611111111111,0.0,-1188.8809394836417,0.0,9908.455258263482,0.0,9908.455258263482,0.0
hot,vn_cantho_hospital,ppo_static,9905.17053604126,0.0,0.40625,0.0,1.8186039394802516e-05,0.0,0.0173611111111111,0.0,-1188.8809394836417,0.0,9908.455258263482,0.0,9908.455258263482,0.0
hot,vn_cantho_hospital,static,6936.571140289307,0.0,0.0,0.0,0.0,0.0,0.0034722222222222,0.0,-832.4385368347167,9.965090693866814e-14,6936.578084733751,0.0,6936.578084733751,0.0
hot,vn_cantho_officemedium,ashrae,1835.3688913621008,0.0,1.0,0.0,1.555013636747996,0.0,0.0034722222222222,0.0,-1115.982121730298,0.0,1843.3758358065454,1.9930181387733628e-13,1843.3758358065454,1.9930181387733628e-13
hot,vn_cantho_officemedium,cloud_only,2512.1615357398987,0.0,0.1840277777777778,0.0,0.0518202715449863,0.0,0.0778977572917938,0.0,-332.429588403702,0.0,2513.7895534767044,0.0,2514.130163368516,0.0
hot,vn_cantho_officemedium,edge_cloud_adaptive,2476.202032573521,0.0,0.1979166666666666,0.0,0.0707346664534674,0.0,0.0737842255168491,0.0,-338.9499046334625,0.0,2477.9329343578884,0.0,2477.9329343578884,0.0
hot,vn_cantho_officemedium,edge_only,4280.326316729188,0.0,0.052083333333333294,9.616816309438122e-18,2.086162567138672e-06,0.0,0.0173611111111111,0.0,-513.8903596371409,0.0,4280.777705618078,0.0,4280.777711618065,0.0
hot,vn_cantho_officemedium,ppo_multicontext,4280.326316729188,0.0,0.052083333333333294,9.616816309438122e-18,2.086162567138672e-06,0.0,0.0173611111111111,0.0,-513.8903596371409,0.0,4280.777705618078,0.0,4280.777705618078,0.0
hot,vn_cantho_officemedium,ppo_static,4280.326316729188,0.0,0.052083333333333294,9.616816309438122e-18,2.086162567138672e-06,0.0,0.0173611111111111,0.0,-513.8903596371409,0.0,4280.777705618078,0.0,4280.777705618078,0.0
hot,vn_cantho_officemedium,static,2480.041614472866,0.0,0.1875,0.0,0.0901214811537,0.0,0.0034722222222222,0.0,-349.5649668812752,0.0,2481.548558917311,3.9860362775467255e-13,2481.548558917311,3.9860362775467255e-13
hot,vn_cantho_officesmall,ashrae,178.2192480303347,0.0,1.0,0.0,2.10260804494222,0.0,0.0034722222222222,0.0,-1232.538543650359,0.0,186.22619247477917,0.0,186.22619247477917,0.0
hot,vn_cantho_officesmall,cloud_only,243.9883088171482,0.0,0.2152777777777778,0.0,0.1297430660989549,0.0,0.0903008646435207,0.0,-105.31093558192258,1.9695239801729274e-14,245.89113276865749,0.0,246.23173931864505,0.0
hot,vn_cantho_officesmall,edge_cloud_adaptive,240.10425460338593,0.0,0.4583333333333333,0.0,0.1794994009865654,0.0,0.0889506042003631,0.0,-133.48505422115338,0.0,243.9488224784533,0.0,243.9488224784533,0.0
hot,vn_cantho_officesmall,edge_only,350.63847202062607,0.0,0.0625,0.0,0.00023905436197910003,3.7565688708742664e-20,0.0173611111111111,0.0,-42.46431195497513,0.0,351.1731942428483,0.0,351.17319974283197,0.0
hot,vn_cantho_officesmall,ppo_multicontext,350.63847202062607,0.0,0.0625,0.0,0.00023905436197910003,3.7565688708742664e-20,0.0173611111111111,0.0,-42.46431195497513,0.0,351.1731942428483,0.0,351.1731942428483,0.0
hot,vn_cantho_officesmall,ppo_static,350.63847202062607,0.0,0.0625,0.0,0.00023905436197910003,3.7565688708742664e-20,0.0173611111111111,0.0,-42.46431195497513,0.0,351.1731942428483,0.0,351.1731942428483,0.0
hot,vn_cantho_officesmall,static,228.97309397161007,0.0,0.5381944444444445,9.73153388072931e-17,0.1530164149072435,0.0,0.0034722222222222,0.0,-115.66422626316545,0.0,233.28559397161007,0.0,233.28559397161007,0.0
hot,vn_danang_officemedium,ashrae,897.8352685086429,0.0,1.0,0.0,1.858788337972429,0.0,0.0034722222222222,0.0,-1178.4523148931569,1.9930181387733628e-13,905.8422129530874,0.0,905.8422129530874,0.0
hot,vn_danang_officemedium,cloud_only,1361.1663891524076,0.0,0.1597222222222222,0.0,0.026754968696170296,4.808408154719061e-18,0.0634832580884297,0.0,-179.66498758375656,0.0,1362.5711334463624,0.0,1362.9117277451594,0.0
hot,vn_danang_officemedium,edge_cloud_adaptive,1333.5261367037892,0.0,0.21875,0.0,0.050125208165910505,9.616816309438122e-18,0.0615907112757364,0.0,-189.7821625503897,3.939047960345855e-14,1335.3993181263406,0.0,1335.3993181263406,0.0
hot,vn_danang_officemedium,edge_only,2724.2599964886904,0.0,0.1423611111111111,0.0,0.0002706382009718,0.0,0.0173611111111111,0.0,-327.3170871824025,0.0,2725.4336075998012,0.0,2725.4336129319986,0.0
